title,link
GIGABYTE GeForce RTX 3070 GAMING OC 8G GDDR6 Graphics Card - GV-N3070GAMING...,https://www.ebay.ca/itm/305563386826?epid=26048919490&hash=item4724ff43ca:g:sC4AAOSwITZmQcHL&itmprp=enc%3AAQAJAAAA4CZERjjt31kI7E%2Bb3Uh9l6qE6oH2SHzD1lvIquy8PWq6lsEIBG5ww7E4sipLXfgU7nY7zci9Obxbfyw0LZ5%2FDs%2BJPsVCJgKUA9tntt1UXouL%2FD0ND%2BD1LVAI5eq39IzoyTcs88w4tj6wxVfjpu9p8O1C%2FF7DzhvBClcZ59bX2H1YyJ2JYkXUwGYgEa9JEzxCrEMQcL0kKRI1CHW3yNZcKuiT%2BX%2FrZrdoy0VuWX1JVlvdaXJf27DpViBRhrDadvkcnqgwI8DHLos79nPF%2Bnfos82DL3ZzpSusTM0ENW%2BghO3W%7Ctkp%3ABk9SR7LH3K_9Yw
New ListingMSI NVIDIA GeForce GTX 1080 8GB Gaming X8G GPU Overclocked Edition Graphics Card,https://www.ebay.ca/itm/315418747086?hash=item49706c20ce:g:XqEAAOSwq9BmYNSu&itmprp=enc%3AAQAJAAAAwEYIg7VKBZQ6H358HMBXgBjXFHPHbQjoT3o3TbPoQvW062XC8vOtnj3hjw5KkQ3NMKOCbjtdGk5%2FnFFzQke8XTs22%2B%2B78fJvWkx%2FWqvyEDinqLsMYsPXuoFEKFl%2Fngz7HaB2m10CLeLbsBjmLQ7xZkmyuKMBcpNjXNQEifIgJjlDuIiJ%2FeItLZioEfR23jnxwjC9%2BiTcOFrk8paxBhqEYywiueWeeCBE9Vy6gnNZW02wdWcGE%2FbHIsKXhAObx6JnSQ%3D%3D%7Ctkp%3ABk9SR7LH3K_9Yw
New ListingNVIDIA GeForce GTX Titan Xp 12GB GDDR5X Graphics Card 90-1G611-2530-000 PJ611,https://www.ebay.ca/itm/305602968105?epid=242683995&hash=item47275b3a29:g:2NAAAOSwcGlmYFcL&itmprp=enc%3AAQAJAAAA4JU%2B1fQel5VghO7T3hMyamd%2FxjgOv1M32tpa2D1ey4XXI6W98hdjQI9vPJWbPuakL08y%2BCeLNwtJ3ZabJQdbM24%2Fwg8BTzI3PDFCzYqzg8B8RVtk4%2BnrEFtvDPyThoKs9U8B6xEXSxOJf3bEN9hyhJRFg3U6IHJjuGiHhBVT35QGHeJX6tAoWD6%2BiGG%2BCd0qkeWOiUe%2FkKghwNmCRkmAxW50jr%2BVpCmW8lGdieO%2F%2ByoTc381nV8EPN29hX65yWI2XLfcoZySw1eTb5lM%2FKn17FRGKcRRCwI8U4QJzma026TB%7Ctkp%3ABFBMssfcr_1j
New ListingEVGA GeForce RTX 3060 XC GAMING 12GB GDDR6 Graphics Card 12G-P5-3657-KR ,https://www.ebay.ca/itm/235595654268?hash=item36da98647c:g:VOgAAOSwcGlmYJnw&itmprp=enc%3AAQAJAAAA4Mf4bDPOCS3gcOD5j%2F%2B5Wa1fbdxmaC0vbtvQoLQz4COeHd049cT5kXS7Eqd%2F09jH4YsTP%2BQKMJ9OO58kszpy4HDk%2BMnQLQhmty3qwExxDQDzvRtOS22vJtXN4z4fUYYUzVORpwDcdeiT8%2FYzGumUaFDC5%2FyfdCrZne0tFD3AT7Fuqc4Kz%2B2Yw5lCYzm9vNRSlRIDtZO8HkFNgEA8wJ5ySN2B1aSivKYyGFGULAMcW1aIS9wzj4Ue4q8ZVT6uBQ4hz1sbVbc4FL1u%2B8imnpLSXovxVJOmpBaL0ovNWgOMI6Mw%7Ctkp%3ABFBMssfcr_1j
GIGABYTE Radeon RX 6600 XT GAMING OC PRO 8GB GDDR6 Graphics Card,https://www.ebay.ca/itm/326125568135?epid=7050209796&hash=item4bee994087:g:T0oAAOSwsXxmQjo0&itmprp=enc%3AAQAJAAAA4P8UAM%2BrkASFvqeVsFZKanrPqQRLkSFzPRHPhUvS%2FNdOZ%2BRcBmosd5ULhZvng7e608%2BodP9v2ZyKwwwALzMQa%2B7fYhlzTrYJV6Eidz3pfocT%2FdX4UVxU9ebWpnqKprEsoioxG7VanmM0qr1kPyVc3V99Mir0lb0pYirdGx%2FP7%2BRMDgk%2BEFGPeumRjE1b583gyAwwlXeAiLIFlkLz5WJcMjdWvKWtOFYXofPWILtsoqdcieSjq%2BZ8avwAwk6gKUJ%2Brbq5RkVuvQVOYlUxo0fGAtVyh0yFiuPPoha%2Fn5LbNsYT%7Ctkp%3ABFBMssfcr_1j
Nvidia Tesla P4 8GB GPU Graphics Card both brackets GDDR5 900-2G414-6300-000,https://www.ebay.ca/itm/314210522487?hash=item4928681577:g:b6YAAOSwKwNmHKRB&itmprp=enc%3AAQAJAAAA4CDlL%2B4jF6g9FweIJEJw4RPe8BKkvhqh1AkGaml2A2yqIRM5O77VGrAIlICXA%2B0R2WmiaqxQ%2Bp%2Fd9lK7BUe6w2LB2PgLXeHPwrjqKKbiHSinqdxz%2BNfEtGi6gVHtfTUKN2LDxWlZIGlCFtN1RUFzAop4GrhOABWU%2BMQOLH9L0y3uR47gP0kC1X4JM7tZkD2l7UMwS2648RCGOuj%2Fhsqu3Zhpx3OFYYzSaTP0rmoxHX8jIj4N%2BaJEBnPS6KGRXC2f2mDiml0sxbMchEwn8h9qTVPVV3KJmeNDT0gmUVz1pBkT%7Ctkp%3ABFBMssfcr_1j
New ListingASUS ROG STRIX GTX 1660 Super Gaming 6Gb GDDR6 Graphics Card,https://www.ebay.ca/itm/176410743952?hash=item2912e65490:g:P9UAAOSwhxtmYKrN&itmprp=enc%3AAQAJAAAAwI7mFfpsLOFfXaWfER4M3zsqTsiJB3vz08663SOs9EYlDkIz0qNmC08jKkv139IS2kqZWsuOkIky1NOZEbTNRr3PFaaksgrJuUffw4gYUHsBOb3RlzigaElFBsFaGUHkQiUK1vSkHiiXv47aGRi625B3MAvr0Ib68O9bacSFME0p9LFqmaUD%2Ff815rJeU5XhHXtSHWYg5V5gOB%2BHv1%2BZiuLAZNmZXo1UPvCy6k3%2BRWV8ehHyIkaBY3z7r2dUHIaYFg%3D%3D%7Ctkp%3ABk9SR7LH3K_9Yw
PNY GeForce GTX 1060 6GB Graphics Card GPU,https://www.ebay.ca/itm/305564992752?hash=item472517c4f0:g:PAEAAOSwUFdmQtd9&itmprp=enc%3AAQAJAAAA4A1S5eG1aCVgaKe9GDXBEm8zSEWD2ENyzk4wY0VofrSySFAbbm78Mu1FLjIwO8LLE7S7eHWYlSXKAEgK%2FM45YUHiwzDYdLzRSHbcui%2FerSoPsHVQ3K8wzKbZcBoWnUANUK88obP3lAgdw80OUokZQ%2BhLAB6Bjggyg2QXOoVak%2Bh9NHbVHGtFvSBANY6otx39eQ6NeRGYvqQjZyXafDI8BkI1DH2zjRoLHPwqf%2BrTa%2BTR7EqIHY8M3P8WEjNWCgBGjaJTTCUX9ub4uuTRsu5z%2FmDkvuybQ6Xgra83ONtxnhk4%7Ctkp%3ABk9SR7TH3K_9Yw
New ListingGIGABYTE Radeon RX 7900 XTX GAMING OC 24GB GDDR6 Graphics Card,https://www.ebay.ca/itm/256534794572?hash=item3bbaaa514c:g:gf4AAOSw9V1mYG-g&itmprp=enc%3AAQAJAAAAwMAUdx1O7TENsftEuC94Krahxi7Jt0vIyaz8KCaIWS%2BnZFGiZnGcpnMnd6dIbd0vjw2EmTN4sJjtowPLSEl6vBlT%2B5qo1rokWCRsKjJgUT81exwJmBGzJ8g6y1V%2BdIIrcHbCI4bxl20I739cIv4k8u4yHblJICOK1at39aIM87qqenWgyk%2FbNL2JFuxnD1uRYF0Ae788WkUTQySTR9jS%2Ba2YNvrkAOgyaG4JdOiViiLezI9XD8XHaeRm%2Fg94C5I%2Bwg%3D%3D%7Ctkp%3ABk9SR7TH3K_9Yw
MSI NVIDIA GeForce RTX 3060 VENTUS 3X OC Graphic Card - 12 GB GDDR6 - 1.81 GHz B,https://www.ebay.ca/itm/355753046558?epid=18045664186&hash=item52d488b21e:g:3PEAAOSwNfZmTiv6&itmprp=enc%3AAQAJAAAAwAFD6X--r8r%2B4sKtu%2FXWZuuccmqd86UXQFyip6NCPCtF8AoicMx3gud%2FmPDl8UoPkLWU0trTNO7H%2FHl9AkoXDrgUgucCL7wE5DcYNPC175z59d6i5GfkbSNphDKYAiIfhVZkGP%2ByBZFxBpciRpa7rUul5en9HomLJ4ja7sGOEg3Ox5yru%2FcqxuhO9lbD4dYD4HfGywVu7bgd5hVN55OgS%2B0eMZ2J%2BZhDv0yYTMzERNbG65%2BAoW8aKv9Vih%2FfJyMZfw%3D%3D%7Ctkp%3ABk9SR7TH3K_9Yw
